dgeqrf dgorgqr LAPACK | m =  114, n =  114, k =  114, nb =    3, lda =  114, ldq =  114,              | time = 0.000134   GFlop/sec = 14.742695| repres  = 6.8e-16    ortho = 6.7e-15 
dgeqrf dgorgqr LAPACK | m =  115, n =  115, k =  115, nb =    3, lda =  115, ldq =  115,              | time = 0.000141   GFlop/sec = 14.391454| repres  = 6.8e-16    ortho = 6.5e-15 
dgeqrf dgorgqr LAPACK | m =  116, n =  116, k =  116, nb =    3, lda =  116, ldq =  116,              | time = 0.000140   GFlop/sec = 14.845516| repres  = 6.7e-16    ortho = 6.8e-15 
dgeqrf dgorgqr LAPACK | m =  117, n =  117, k =  117, nb =    3, lda =  117, ldq =  117,              | time = 0.000149   GFlop/sec = 14.330991| repres  = 6.9e-16    ortho = 7.0e-15 
dgeqrf dgorgqr LAPACK | m =  118, n =  118, k =  118, nb =    3, lda =  118, ldq =  118,              | time = 0.000145   GFlop/sec = 15.087850| repres  = 6.6e-16    ortho = 6.7e-15 
dgeqrf dgorgqr LAPACK | m =  119, n =  119, k =  119, nb =    3, lda =  119, ldq =  119,              | time = 0.000153   GFlop/sec = 14.702172| repres  = 6.6e-16    ortho = 6.1e-15 
dgeqrf dgorgqr LAPACK | m =  120, n =  120, k =  120, nb =    3, lda =  120, ldq =  120,              | time = 0.000155   GFlop/sec = 14.867194| repres  = 6.7e-16    ortho = 6.5e-15 
dgeqrf dgorgqr LAPACK | m =  121, n =  121, k =  121, nb =    3, lda =  121, ldq =  121,              | time = 0.000155   GFlop/sec = 15.241980| repres  = 6.7e-16    ortho = 6.7e-15 
dgeqrf dgorgqr LAPACK | m =  122, n =  122, k =  122, nb =    3, lda =  122, ldq =  122,              | time = 0.000171   GFlop/sec = 14.143396| repres  = 7.0e-16    ortho = 6.9e-15 
dgeqrf dgorgqr LAPACK | m =  123, n =  123, k =  123, nb =    3, lda =  123, ldq =  123,              | time = 0.000167   GFlop/sec = 14.845539| repres  = 6.8e-16    ortho = 7.0e-15 
dgeqrf dgorgqr LAPACK | m =  124, n =  124, k =  124, nb =    3, lda =  124, ldq =  124,              | time = 0.000167   GFlop/sec = 15.232306| repres  = 6.9e-16    ortho = 7.0e-15 
dgeqrf dgorgqr LAPACK | m =  125, n =  125, k =  125, nb =    3, lda =  125, ldq =  125,              | time = 0.000167   GFlop/sec = 15.603810| repres  = 6.6e-16    ortho = 6.5e-15 
dgeqrf dgorgqr LAPACK | m =  126, n =  126, k =  126, nb =    3, lda =  126, ldq =  126,              | time = 0.000182   GFlop/sec = 14.642557| repres  = 6.8e-16    ortho = 6.7e-15 
dgeqrf dgorgqr LAPACK | m =  127, n =  127, k =  127, nb =    3, lda =  127, ldq =  127,              | time = 0.000181   GFlop/sec = 15.092738| repres  = 6.9e-16    ortho = 6.7e-15 
dgeqrf dgorgqr LAPACK | m =  128, n =  128, k =  128, nb =    3, lda =  128, ldq =  128,              | time = 0.000179   GFlop/sec = 15.616676| repres  = 7.1e-16    ortho = 7.2e-15 
dgeqrf dgorgqr LAPACK | m =  129, n =  129, k =  129, nb =    3, lda =  129, ldq =  129,              | time = 0.000180   GFlop/sec = 15.900868| repres  = 7.1e-16    ortho = 7.4e-15 
dgeqrf dgorgqr LAPACK | m =  130, n =  130, k =  130, nb =    3, lda =  130, ldq =  130,              | time = 0.000173   GFlop/sec = 16.923574| repres  = 7.3e-16    ortho = 7.6e-15 
dgeqrf dgorgqr LAPACK | m =  131, n =  131, k =  131, nb =    3, lda =  131, ldq =  131,              | time = 0.000177   GFlop/sec = 16.943714| repres  = 7.0e-16    ortho = 7.0e-15 
dgeqrf dgorgqr LAPACK | m =  132, n =  132, k =  132, nb =    3, lda =  132, ldq =  132,              | time = 0.000175   GFlop/sec = 17.523642| repres  = 7.2e-16    ortho = 7.4e-15 
dgeqrf dgorgqr LAPACK | m =  133, n =  133, k =  133, nb =    3, lda =  133, ldq =  133,              | time = 0.000180   GFlop/sec = 17.426357| repres  = 7.2e-16    ortho = 7.4e-15 
dgeqrf dgorgqr LAPACK | m =  134, n =  134, k =  134, nb =    3, lda =  134, ldq =  134,              | time = 0.000183   GFlop/sec = 17.543558| repres  = 6.9e-16    ortho = 7.2e-15 
dgeqrf dgorgqr LAPACK | m =  135, n =  135, k =  135, nb =    3, lda =  135, ldq =  135,              | time = 0.000190   GFlop/sec = 17.264008| repres  = 7.3e-16    ortho = 7.7e-15 
dgeqrf dgorgqr LAPACK | m =  136, n =  136, k =  136, nb =    3, lda =  136, ldq =  136,              | time = 0.000187   GFlop/sec = 17.920318| repres  = 6.9e-16    ortho = 7.5e-15 
dgeqrf dgorgqr LAPACK | m =  137, n =  137, k =  137, nb =    3, lda =  137, ldq =  137,              | time = 0.000194   GFlop/sec = 17.665907| repres  = 7.1e-16    ortho = 7.5e-15 
dgeqrf dgorgqr LAPACK | m =  138, n =  138, k =  138, nb =    3, lda =  138, ldq =  138,              | time = 0.000206   GFlop/sec = 17.010699| repres  = 7.0e-16    ortho = 7.5e-15 
