gcc -g driver.c -o driver
dgeqrf dgorgqr LAPACK | m =  550, n =   50, k =   10, nb =    3, lda =  550, ldq =  550,              | time = 0.001038   GFlop/sec = 5.138898| repres  = 3.1e-16    ortho = 4.8e-15 
dgeqrf dgorgqr LAPACK | m =  550, n =  150, k =   10, nb =    3, lda =  550, ldq =  550,              | time = 0.002059   GFlop/sec = 21.855452| repres  = 3.1e-16    ortho = 8.7e-15 
dgeqrf dgorgqr LAPACK | m =  550, n =  250, k =   10, nb =    3, lda =  550, ldq =  550,              | time = 0.004477   GFlop/sec = 26.058977| repres  = 3.1e-16    ortho = 1.1e-14 
dgeqrf dgorgqr LAPACK | m =  550, n =  250, k =  210, nb =    3, lda =  550, ldq =  550,              | time = 0.035285   GFlop/sec = 3.306410| repres  = 1.2e-15    ortho = 1.7e-14 
dgeqrf dgorgqr LAPACK | m =  550, n =  250, k =  210, nb =   13, lda =  550, ldq =  550,              | time = 0.041008   GFlop/sec = 2.844974| repres  = 1.2e-15    ortho = 1.7e-14 
dgeqrf dgorgqr LAPACK | m =  550, n =  250, k =  210, nb =   23, lda =  550, ldq =  550,              | time = 0.041212   GFlop/sec = 2.830885| repres  = 1.2e-15    ortho = 1.7e-14 
dgeqrf dgorgqr LAPACK | m =  550, n =  350, k =   10, nb =    3, lda =  550, ldq =  550,              | time = 0.005049   GFlop/sec = 42.054613| repres  = 3.1e-16    ortho = 1.2e-14 
dgeqrf dgorgqr LAPACK | m =  550, n =  350, k =  210, nb =    3, lda =  550, ldq =  550,              | time = 0.064231   GFlop/sec = 3.305781| repres  = 1.2e-15    ortho = 2.2e-14 
dgeqrf dgorgqr LAPACK | m =  550, n =  350, k =  210, nb =   13, lda =  550, ldq =  550,              | time = 0.064715   GFlop/sec = 3.281057| repres  = 1.2e-15    ortho = 2.2e-14 
dgeqrf dgorgqr LAPACK | m =  550, n =  350, k =  210, nb =   23, lda =  550, ldq =  550,              | time = 0.060710   GFlop/sec = 3.497491| repres  = 1.2e-15    ortho = 2.2e-14 
dgeqrf dgorgqr LAPACK | m =  550, n =  450, k =   10, nb =    3, lda =  550, ldq =  550,              | time = 0.007464   GFlop/sec = 43.408755| repres  = 3.1e-16    ortho = 1.3e-14 
dgeqrf dgorgqr LAPACK | m =  550, n =  450, k =  210, nb =    3, lda =  550, ldq =  550,              | time = 0.084362   GFlop/sec = 3.840601| repres  = 1.2e-15    ortho = 2.7e-14 
dgeqrf dgorgqr LAPACK | m =  550, n =  450, k =  210, nb =   13, lda =  550, ldq =  550,              | time = 0.087562   GFlop/sec = 3.700232| repres  = 1.2e-15    ortho = 2.6e-14 
dgeqrf dgorgqr LAPACK | m =  550, n =  450, k =  210, nb =   23, lda =  550, ldq =  550,              | time = 0.085266   GFlop/sec = 3.799879| repres  = 1.2e-15    ortho = 2.6e-14 
dgeqrf dgorgqr LAPACK | m =  550, n =  450, k =  410, nb =    3, lda =  550, ldq =  550,              | time = 0.108104   GFlop/sec = 2.997114| repres  = 1.5e-15    ortho = 2.9e-14 
dgeqrf dgorgqr LAPACK | m =  550, n =  450, k =  410, nb =   13, lda =  550, ldq =  550,              | time = 0.102516   GFlop/sec = 3.160484| repres  = 1.5e-15    ortho = 2.8e-14 
dgeqrf dgorgqr LAPACK | m =  550, n =  450, k =  410, nb =   23, lda =  550, ldq =  550,              | time = 0.109225   GFlop/sec = 2.966353| repres  = 1.5e-15    ortho = 2.8e-14 
dgeqrf dgorgqr LAPACK | m =  550, n =  550, k =   10, nb =    3, lda =  550, ldq =  550,              | time = 0.008187   GFlop/sec = 54.191237| repres  = 3.1e-16    ortho = 1.4e-14 
